Data processed on: 2025-10-04T15:19:24
iter, measured, state-pred, uncertainty
446,990.298,993.769,1.977
447,1005.814,998.383,1.977
448,995.695,1002.717,1.977
449,1015.105,1007.357,1.977
450,1004.393,1011.705,1.977
451,1022.945,1016.343,1.977
452,1022.249,1020.886,1.977
453,1032.474,1025.551,1.977
454,1027.009,1030.028,1.977
455,1039.298,1034.668,1.978
456,1036.345,1039.168,1.978
457,1043.291,1043.727,1.978
458,1043.407,1048.207,1.978
459,1047.891,1052.696,1.978
460,1059.861,1057.342,1.978
461,1066.885,1062.045,1.978
462,1066.451,1066.657,1.978
463,1078.729,1071.431,1.978
464,1071.034,1075.969,1.978
465,1088.322,1080.768,1.978
466,1094.131,1085.599,1.978
467,1096.318,1090.389,1.978
468,1101.975,1095.207,1.978
469,1095.912,1099.820,1.978
470,1107.054,1104.572,1.978
471,1117.147,1109.440,1.978
472,1116.159,1114.204,1.978
473,1118.708,1118.934,1.978
474,1125.937,1123.723,1.978
475,1127.207,1128.452,1.978
476,1125.93,1133.073,1.978
477,1144.0,1137.968,1.978
478,1149.124,1142.878,1.978
479,1139.472,1147.511,1.978
480,1149.999,1152.269,1.978
481,1154.83,1157.038,1.978
482,1170.071,1162.024,1.978
483,1171.413,1166.948,1.978
484,1170.942,1171.777,1.978
485,1167.475,1176.451,1.978
486,1174.848,1181.187,1.978
487,1182.494,1185.989,1.978
488,1192.704,1190.907,1.978
489,1188.956,1195.663,1.978
490,1199.648,1200.546,1.978
491,1211.667,1205.579,1.978
492,1218.099,1210.651,1.978
493,1214.534,1215.564,1.978
494,1228.281,1220.660,1.978
495,1234.878,1225.798,1.978
496,1226.302,1230.676,1.978
497,1225.217,1235.445,1.978
498,1249.669,1240.611,1.978
499,1242.571,1245.546,1.978
500,1250.362,1250.547,1.978
501,1245.251,1255.358,1.978
502,1255.356,1260.281,1.978
503,1257.17,1265.152,1.978
504,1274.692,1270.281,1.978
505,1279.625,1275.416,1.978
506,1277.002,1280.409,1.978
507,1290.603,1285.581,1.978
508,1292.571,1290.701,1.978
509,1291.572,1295.710,1.978
510,1303.883,1300.872,1.978
511,1301.784,1305.901,1.978
512,1303.651,1310.877,1.978
513,1320.067,1316.087,1.978
514,1320.39,1321.211,1.978
515,1334.122,1326.515,1.978
516,1331.445,1331.673,1.978
517,1337.324,1336.854,1.978
518,1343.54,1342.066,1.978
519,1353.015,1347.372,1.978
520,1360.832,1352.739,1.978
521,1366.302,1358.119,1.978
522,1360.456,1363.289,1.978
523,1363.355,1368.423,1.978
524,1375.566,1373.705,1.978
525,1378.203,1378.946,1.978
526,1385.887,1384.245,1.978
527,1387.026,1389.471,1.978
528,1395.761,1394.776,1.978
529,1389.967,1399.872,1.978
530,1399.694,1405.067,1.978
531,1400.406,1410.182,1.978
532,1415.401,1415.500,1.978
533,1421.78,1420.850,1.978
534,1424.356,1426.154,1.978
535,1431.863,1431.511,1.978
536,1439.839,1436.930,1.978
537,1434.571,1442.148,1.978
538,1442.472,1447.427,1.978
539,1459.257,1452.943,1.978
